title,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Disease,Lady Gaga,0.562,0.917,11,-2.768,0.117,0.0513,0.0,0.488,0.501,100.987
Over Each Other,Linkin Park,0.55,0.789,10,-4.634,0.0382,0.00241,0.0,0.428,0.317,147.947
Lilien,AYLIVA,0.862,0.549,1,-6.635,0.0632,0.243,0.000117,0.122,0.415,119.989
Dancing In The Flames,The Weeknd,0.552,0.73,1,-6.203,0.0381,0.0011,0.0,0.0837,0.162,116.875
Who,Jimin,0.66,0.756,0,-3.743,0.032,0.00289,0.0,0.193,0.838,116.034
Cupid's Bow,Olly Alexander (Years & Years),0.645,0.677,8,-5.238,0.0383,0.0314,0.000156,0.3,0.346,126.989
Geschlossene Augen,"SANTOS, Sido",0.813,0.721,2,-5.532,0.16,0.02,1.95e-05,0.114,0.353,82.021
Her Eyes,Charlie Jeer,0.801,0.478,2,-13.053,0.139,0.455,0.126,0.112,0.246,125.986
Guess featuring billie eilish,"Charli xcx, Billie Eilish",0.776,0.667,7,-6.622,0.0983,0.0146,0.3,0.0761,0.618,130.019
feelslikeimfallinginlove - Single Version,Coldplay,0.629,0.515,0,-7.503,0.0272,0.0448,0.00751,0.117,0.339,121.154
Training Season,Dua Lipa,0.812,0.587,5,-4.483,0.0477,0.0349,2.55e-06,0.124,0.664,123.041
Disco Heart,twocolors,0.682,0.87,4,-5.636,0.0337,0.127,0.00772,0.415,0.501,134.924
BOOM,"CRO, BUNT.",0.61,0.625,9,-9.721,0.0439,0.242,0.712,0.114,0.586,130.04
Miami,Apache 207,0.9,0.611,6,-5.949,0.127,0.0845,0.000135,0.0753,0.905,111.98
Lose Control - Radio Edit,Teddy Swims,0.68,0.625,6,-4.302,0.0285,0.313,6.33e-06,0.238,0.167,79.98
I Don't Wanna Wait,"David Guetta, OneRepublic",0.681,0.714,1,-4.617,0.0309,0.0375,0.0,0.232,0.554,129.976
Alibi (with Pabllo Vittar & Yseult),"Sevdaliza, Pabllo Vittar, Yseult",0.741,0.754,11,-5.412,0.0327,0.00526,8.21e-06,0.125,0.717,126.98
Illusion,Dua Lipa,0.677,0.763,8,-4.701,0.0471,0.0238,2.02e-06,0.0894,0.719,126.964
Bed Chem,Sabrina Carpenter,0.739,0.727,11,-5.968,0.0426,0.0678,0.0,0.104,0.676,94.99
LET'S GO,"Jaden Bojsen, Sami Brielle",0.8,0.715,1,-6.79,0.0861,0.016,0.545,0.122,0.597,128.997
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",0.704,0.787,11,-6.751,0.0462,0.00926,0.00538,0.159,0.31,119.996
Don't Lie,"The Chainsmokers, Kim Petras",0.823,0.826,9,-3.858,0.0414,0.0653,0.0065,0.066,0.843,135.046
Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",0.853,0.618,6,-10.833,0.0923,0.633,0.89,0.0972,0.32,126.031
Apple,Charli xcx,0.804,0.957,0,-5.452,0.034,0.125,0.0174,0.114,0.962,126.035
Shut Up And Dance,Sophie and the Giants,0.689,0.942,0,-5.358,0.0458,0.00182,0.0174,0.27,0.742,129.046
Throw Some Ass,Sofi Tukker,0.823,0.664,3,-4.678,0.0579,0.0429,0.00162,0.0489,0.575,131.023
Airforce,"Bausa, FAST BOY",0.702,0.774,4,-6.541,0.0762,0.242,0.0,0.107,0.146,129.881
IMMER (MIT MAKKO),"Ski Aggu, makko",0.774,0.728,7,-5.971,0.217,0.0743,0.0164,0.18,0.655,173.091
Soup,Remi Wolf,0.65,0.686,6,-4.611,0.0569,0.0103,0.000599,0.0619,0.559,119.937
Why Why Why,Shawn Mendes,0.576,0.735,7,-6.75,0.091,0.00662,2.68e-06,0.475,0.455,104.992
Free (with Ellie Goulding),"Calvin Harris, Ellie Goulding",0.467,0.98,9,-5.515,0.0598,0.0526,0.223,0.0688,0.05,138.036
Angel Of My Dreams,JADE,0.532,0.723,6,-5.776,0.0452,0.104,0.000227,0.27,0.379,127.906
Chains,"Tina Arena, Shouse",0.736,0.83,5,-5.485,0.0328,0.00123,0.0655,0.354,0.804,122.985
Nein!,AYLIVA,0.676,0.778,8,-5.612,0.046,0.0257,2.46e-05,0.229,0.263,112.035
Für Immer Jetzt,Clueso,0.677,0.816,6,-5.347,0.0359,0.0176,2.47e-06,0.347,0.827,143.914
Wie Weit,"Die Fantastischen Vier, Mia.",0.64,0.84,0,-4.53,0.269,0.00345,0.0,0.0843,0.799,125.191
Galina,"Allie X, Empress Of",0.69,0.812,1,-4.336,0.0296,0.0102,5.73e-06,0.074,0.434,111.993
Houdini,Eminem,0.936,0.887,9,-2.76,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003
Stumblin' In,CYRIL,0.875,0.518,2,-8.388,0.0551,0.0638,0.00995,0.125,0.37,126.089
LUNCH,Billie Eilish,0.893,0.4,11,-7.981,0.0643,0.0452,0.0823,0.0632,0.945,124.987
Houdini,Dua Lipa,0.744,0.791,9,-4.878,0.0586,0.00368,0.00171,0.0944,0.872,116.981
The Door,Teddy Swims,0.731,0.861,8,-5.483,0.0532,0.0193,0.0,0.123,0.759,127.922
MILLION DOLLAR BABY,Tommy Richman,0.849,0.699,1,-5.106,0.0436,0.0982,0.000215,0.068,0.927,138.003
"ZEIT, DASS SICH WAS DREHT","$OHO BANI, Herbert Grönemeyer, Ericson",0.692,0.644,0,-6.694,0.117,0.0906,0.0,0.13,0.354,140.012
Wunder,"AYLIVA, Apache 207",0.857,0.687,10,-5.777,0.0785,0.109,0.000577,0.0971,0.531,99.969
Mittelmeer,Pashanim,0.769,0.41,4,-8.188,0.0628,0.0827,0.00889,0.141,0.168,89.018
Mambo - #40Bochum,"JEREMIAS, Herbert Grönemeyer",0.674,0.88,9,-4.76,0.111,0.246,2e-05,0.117,0.61,112.071
tempo,"Sampagne, badchieff, CRO",0.877,0.595,8,-9.502,0.0449,0.403,0.00056,0.0753,0.718,117.934
Heartbreaker,"Purple Disco Machine, Chromeo",0.785,0.738,10,-6.249,0.0323,0.00334,0.000262,0.0455,0.812,122.024
Crazy Woman,Cloudy June,0.682,0.69,6,-9.189,0.0909,0.312,2.52e-06,0.16,0.502,134.956
Puntería,"Shakira, Cardi B",0.858,0.725,5,-3.828,0.0383,0.0222,3.07e-05,0.138,0.805,120.087
LA FALDA - &friends Remix,"Myke Towers, &friends",0.76,0.916,9,-5.237,0.0874,0.138,9.71e-05,0.0564,0.717,117.983
Murder On The Dancefloor - PNAU Remix,"Sophie Ellis-Bextor, PNAU",0.696,0.827,4,-4.628,0.139,0.0924,0.0,0.0899,0.787,116.0
Prada,"cassö, RAYE, D-Block Europe",0.638,0.717,8,-5.804,0.0375,0.001,1.79e-06,0.113,0.422,141.904
Monster,"Don Diablo, Felix Jaehn",0.602,0.958,0,-4.754,0.036,0.0321,0.000757,0.118,0.48,144.989
Outside Of Love,Becky Hill,0.648,0.896,7,-3.989,0.0534,0.00807,4.11e-06,0.296,0.133,125.987
Northern Attitude (with Hozier),"Noah Kahan, Hozier",0.488,0.644,3,-8.127,0.051,0.132,4.01e-05,0.105,0.33,121.861
II MOST WANTED,"Beyoncé, Miley Cyrus",0.533,0.355,8,-6.132,0.0289,0.497,0.0,0.174,0.256,137.986
Tell Ur Girlfriend,Lay Bankz,0.866,0.741,7,-4.66,0.245,0.0933,0.0,0.0297,0.614,135.07
My Oh My,Ava Max,0.691,0.856,11,-3.899,0.0383,0.0174,4.76e-05,0.111,0.638,117.081
Happier (feat. Clementine Douglas),"The Blessed Madonna, Clementine Douglas",0.785,0.831,0,-3.681,0.0444,0.0038,0.0105,0.086,0.673,126.056
The Code,Nemo,0.542,0.77,5,-3.852,0.147,0.215,0.0,0.0893,0.489,159.818
One Night/All Night,"Justice, Tame Impala",0.686,0.506,0,-9.352,0.179,0.03,0.0414,0.641,0.638,116.139
Set My Heart On Fire (I'm Alive x And The Beat Goes On),"Majestic, The Jammin Kid, Céline Dion",0.551,0.873,0,-5.157,0.218,0.0347,6.45e-06,0.0997,0.583,119.988
These Words,"Badger, Natasha Bedingfield",0.595,0.989,5,-2.695,0.0736,0.017,0.0,0.321,0.223,129.989
360,Charli xcx,0.857,0.62,0,-8.13,0.0472,0.646,0.244,0.0934,0.796,120.042
Ready For Your Love,"Felix Jaehn, Sophie Ellis-Bextor",0.729,0.724,2,-5.779,0.0986,0.0123,0.0305,0.187,0.357,128.027
365,Charli xcx,0.761,0.856,1,-5.121,0.109,0.154,0.503,0.16,0.729,127.111
Nasty,Tinashe,0.931,0.411,8,-8.433,0.0711,0.165,5.26e-06,0.134,0.515,100.002
Love Me JeJe,Tems,0.834,0.516,8,-10.871,0.138,0.156,0.53,0.109,0.531,103.955
I Can Do It With a Broken Heart,Taylor Swift,0.701,0.751,0,-8.39,0.0502,0.123,0.0,0.15,0.22,129.994
Daisies,Good Neighbours,0.56,0.823,9,-4.716,0.0383,0.088,0.000288,0.275,0.647,111.967
Not Like Us,Kendrick Lamar,0.898,0.472,1,-7.001,0.0776,0.0107,0.0,0.141,0.214,101.061
Nice to Meet You,Imagine Dragons,0.676,0.799,0,-6.899,0.0918,0.00892,1.64e-05,0.355,0.713,105.064
HOT TO GO!,Chappell Roan,0.742,0.757,6,-4.981,0.0421,0.0187,0.0,0.305,0.957,139.982
YA YA,Beyoncé,0.617,0.904,11,-5.371,0.341,0.317,0.0,0.507,0.764,151.926
(They Long To Be) Close To You - Music From The Motion Picture,"Lady Gaga, Joaquin Phoenix",0.355,0.194,7,-14.813,0.0305,0.451,0.0,0.357,0.203,80.322
Weekend Boy,Good Neighbours,0.57,0.551,2,-8.461,0.106,0.654,0.00258,0.199,0.512,89.875
Spill My Liquor,Oscar and the Wolf,0.571,0.914,9,-7.17,0.0368,0.00326,0.00956,0.136,0.128,127.007
TELL THE KIDS IT'S ALRIGHT,Mustii,0.538,0.818,0,-5.243,0.0871,0.00973,0.0,0.0776,0.729,173.919
Starboy,"Luciano, Jazeek",0.737,0.725,11,-7.581,0.372,0.0515,0.0,0.297,0.539,96.372
Wasted Youth,"goddard., Cat Burns",0.565,0.902,9,-2.81,0.183,0.00774,0.000522,0.353,0.28,174.004
fremde bleiben,siovo,0.528,0.752,9,-5.143,0.0507,0.0824,0.025,0.136,0.452,160.997
Mantra,JENNIE,0.894,0.725,10,-4.984,0.0432,0.00434,1.15e-05,0.0815,0.838,116.988
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",0.569,0.882,3,-2.777,0.06,0.0316,0.0,0.142,0.201,148.038
Pink Pony Club,Chappell Roan,0.61,0.65,6,-6.199,0.0474,0.399,0.0,0.11,0.507,106.719
7 LEERE ZIMMER (feat. Henning May),"Ufo361, Henning May",0.629,0.605,2,-6.763,0.0437,0.0805,3.61e-05,0.181,0.376,149.994
Outfit Check,Ritter Lean,0.753,0.946,6,-4.991,0.0969,0.0371,0.00145,0.132,0.883,142.059
DAS GEHT VORBEi,"FiNCH, JBS",0.661,0.685,7,-6.164,0.0909,0.0829,0.0,0.306,0.76,74.996
Rosaroter Tee,bac,0.769,0.424,0,-8.746,0.246,0.437,0.0,0.0861,0.581,105.083
Richtung Sonne,PaulWetz,0.797,0.664,0,-6.41,0.0703,0.307,0.124,0.1,0.503,129.95
JOYRIDE,Kesha,0.788,0.898,10,-4.653,0.0592,0.0182,0.000123,0.114,0.496,115.96
Stereo,"twocolors, Roe Byrne",0.668,0.86,11,-4.621,0.0705,0.0259,2.85e-06,0.22,0.535,130.063
Fire - Official UEFA EURO 2024 Song,"MEDUZA, OneRepublic, Leony",0.538,0.82,0,-7.234,0.0513,0.231,0.0,0.218,0.27,129.919
Out My Head,"Topic, A7S",0.674,0.729,10,-7.543,0.0673,0.0128,1.14e-05,0.464,0.473,125.966
Honey Boy (feat. Nile Rodgers & Shenseea),"Purple Disco Machine, Benjamin Ingrosso, Nile Rodgers, Shenseea",0.724,0.8,5,-5.468,0.0541,0.0103,9.38e-05,0.0823,0.925,119.984
Look Who's Laughing Now,Benjamin Ingrosso,0.824,0.616,5,-5.768,0.0557,0.271,0.0,0.115,0.661,125.009
The Weekend,Tokio Hotel,0.705,0.941,10,-3.298,0.0424,0.145,0.0,0.199,0.795,124.106
BODYGUARD,Beyoncé,0.726,0.779,4,-5.432,0.0551,0.0137,0.000235,0.365,0.539,119.031
One Of Your Girls,Troye Sivan,0.635,0.648,11,-7.78,0.0548,0.101,0.00426,0.198,0.8,93.0
CHIHIRO,Billie Eilish,0.7,0.425,7,-12.531,0.0529,0.144,0.879,0.083,0.521,110.015
Oh Boy,Ryk,0.278,0.365,5,-8.223,0.0345,0.819,1.01e-05,0.139,0.0992,87.149
Tough,"Quavo, Lana Del Rey",0.582,0.557,8,-7.981,0.101,0.452,1.87e-05,0.121,0.211,84.989
Close To You,Gracie Abrams,0.59,0.727,6,-7.955,0.0706,0.0259,6.48e-05,0.0827,0.356,121.966
know that you're not alone,Cat Burns,0.679,0.683,2,-2.775,0.0655,0.242,2.62e-06,0.2,0.848,154.985
Atlantis,"Paula Hartmann, Trettmann",0.746,0.458,2,-7.44,0.057,0.224,0.0,0.0961,0.243,120.053
TUTA GOLD,Mahmood,0.741,0.747,9,-6.924,0.0495,0.636,0.000871,0.179,0.786,123.055
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,0.599,0.651,0,-7.343,0.035,0.0486,0.0,0.126,0.153,100.001
I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",0.429,0.453,0,-7.746,0.0459,0.554,2e-06,0.102,0.155,77.639
wie du manchmal fehlst,"Zartmann, Ski Aggu, Dauner",0.869,0.527,7,-8.952,0.143,0.431,0.000522,0.115,0.694,115.063
Klimpa Klimpa,Dominik Hartz,0.834,0.811,11,-7.202,0.0791,0.262,0.00261,0.0926,0.767,125.967
Alkohol - #40Bochum,"Chapo102, Bausa, Herbert Grönemeyer",0.81,0.537,1,-5.107,0.0541,0.352,2.26e-05,0.252,0.544,117.011
VEMPA,"FOURTY, Bausa, CHEKAA",0.919,0.609,6,-4.492,0.0633,0.129,0.000457,0.0627,0.866,133.981
Liebe in Stereo,"Baby B3ns, Yung Hurn",0.585,0.859,1,-5.274,0.304,0.128,0.00147,0.229,0.397,144.017
Only Way Is Up (feat. Izzy Bizu),"Robin Schulz, Izzy Bizu",0.647,0.742,8,-6.579,0.0424,0.00602,0.011,0.146,0.482,132.949
Sympathy is a knife,Charli xcx,0.718,0.706,7,-5.596,0.0587,0.0539,0.0,0.41,0.58,131.943
Erwischt,"KATI K, FiNCH",0.701,0.654,3,-5.997,0.0887,0.365,2.54e-06,0.0911,0.433,159.963
Zur Party,6euroneunzig,0.802,0.981,1,-6.311,0.302,0.049,0.0,0.11,0.558,151.965
Verschwendete Zeit,"01099, Gustav, Paul, Zachi",0.836,0.655,11,-10.013,0.0584,0.408,0.502,0.109,0.489,134.98
Unwritten,Natasha Bedingfield,0.706,0.8,5,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011
exes,Tate McRae,0.822,0.578,5,-6.542,0.0582,0.164,0.000252,0.11,0.627,136.966
A Tear in Space (Airlock),Glass Animals,0.711,0.597,9,-7.364,0.0467,0.301,4.13e-05,0.0688,0.507,93.007
Strawberry eyes,Emilio,0.749,0.76,9,-5.698,0.0555,0.272,0.0,0.312,0.706,117.952
NuR Du :/,"Lune, SHABAB",0.936,0.653,9,-4.516,0.164,0.272,0.000527,0.0836,0.674,123.081
Life's Unfair,Omar Apollo,0.409,0.453,11,-10.09,0.0533,0.129,6.42e-05,0.101,0.144,102.025
Water,"Tyla, Marshmello",0.525,0.873,6,-5.03,0.0688,0.106,0.000137,0.253,0.292,123.854
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",0.594,0.811,1,-5.746,0.159,0.189,0.0,0.339,0.311,148.144
Nasty (Match My Chic Remix),"Tinashe, KAYTRANADA",0.791,0.641,10,-9.382,0.046,0.000696,1.28e-06,0.122,0.226,105.977
Not My Fault (with Megan Thee Stallion),"Reneé Rapp, Megan Thee Stallion",0.811,0.792,1,-6.081,0.175,0.1,0.0,0.395,0.854,124.01
Dance Alone,"Sia, Kylie Minogue",0.687,0.651,1,-4.756,0.0419,0.00296,0.26,0.0822,0.508,119.961
Ode an den Bass,PaulWetz,0.87,0.824,4,-4.795,0.118,0.466,0.00205,0.158,0.601,124.01
Cruel Summer - LP Giobbi Remix,"Taylor Swift, LP Giobbi",0.73,0.717,9,-9.095,0.0554,0.0922,0.00296,0.112,0.283,122.988
Mwaki,"Zerb, Sofiya Nzau",0.847,0.637,7,-8.751,0.0587,0.201,0.201,0.121,0.0509,120.033
Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",0.673,0.95,11,-5.149,0.0488,0.0229,0.0823,0.398,0.563,150.019
Pedro,"Jaxomy, Agatino Romero, Raffaella Carrà",0.788,0.936,9,-6.294,0.301,0.0229,1.3e-06,0.311,0.844,151.019
Major Tom (Völlig losgelöst),"MXM, Chris van Dutch",0.614,0.896,4,-5.985,0.0787,0.0153,0.00125,0.0987,0.676,165.026
Never Be Lonely,"Jax Jones, Zoe Wees",0.731,0.785,3,-4.08,0.0339,0.0155,0.00224,0.0567,0.85,131.988
Love Bites (Feat. Tove Lo & SG Lewis),"Nelly Furtado, Tove Lo, SG Lewis",0.754,0.663,6,-6.367,0.0411,0.0246,3.76e-05,0.12,0.757,128.028
All My Life,"Tiësto, FAST BOY",0.613,0.963,7,-4.302,0.0585,0.00686,0.0176,0.235,0.0795,137.961
Overdrive (feat. Norma Jean Martine),"Ofenbach, Norma Jean Martine",0.611,0.757,6,-3.546,0.03,0.00257,0.0,0.058,0.279,126.963
Vois sur ton chemin - Techno Mix,BENNETT,0.634,0.824,2,-3.394,0.047,0.0908,0.0711,0.119,0.371,137.959
Midnight Lover,"YouNotUs, Zak Abel",0.698,0.773,11,-5.027,0.0786,0.0383,0.0,0.112,0.808,129.984
Flashback,ÁSDÍS,0.739,0.871,6,-3.583,0.0634,0.0111,1.15e-05,0.0722,0.95,150.01
42,"Diplo, Maren Morris",0.776,0.796,5,-4.063,0.037,0.0318,0.0,0.39,0.548,123.983
Spiral,Sofi Tukker,0.615,0.903,10,-5.541,0.0311,0.0321,0.199,0.0703,0.693,135.023
Summer's Back,"Alok, Jess Glynne",0.703,0.914,7,-4.75,0.127,0.000642,0.0221,0.36,0.863,126.028
Randali,"Chapo102, Nina Chuba",0.725,0.697,0,-5.132,0.216,0.308,0.0,0.186,0.779,78.995
HOT UPTOWN (feat. Drake),"Camila Cabello, Drake",0.765,0.741,5,-7.361,0.274,0.338,8.87e-05,0.132,0.68,128.044
"HERE WE GO! - from the Netflix film ""Beverly Hills Cop: Axel F""",Lil Nas X,0.651,0.715,5,-6.604,0.0544,0.00602,0.000187,0.414,0.421,158.061
Midnight Ride,"Orville Peck, Kylie Minogue, Diplo",0.627,0.821,6,-4.9,0.0425,0.012,1.41e-05,0.0694,0.582,118.014
Magic Moment (feat. Chris de Sarandy),"Glockenbach, Chris de Sarandy",0.621,0.898,9,-3.829,0.0505,0.0228,0.0,0.266,0.486,123.996
Life,"Jamie xx, Robyn",0.7,0.863,5,-6.755,0.179,0.00414,0.0197,0.32,0.649,123.996
HEAT,"Tove Lo, SG Lewis",0.702,0.945,2,-3.997,0.0394,0.00695,0.613,0.352,0.427,125.001
Zeros (feat. Headie One),"cassö, Jazzy, Headie One",0.654,0.921,11,-4.456,0.0294,0.171,2.29e-05,0.198,0.856,140.04
Ten (Get Back Up),"Nathan Dawe, MNEK",0.51,0.724,6,-5.167,0.0423,0.031,0.0,0.504,0.426,129.864
Call Me,Cascada,0.646,0.825,5,-4.67,0.111,0.0148,0.000324,0.26,0.758,139.956
Promise,Malik Harris,0.691,0.635,0,-5.236,0.0319,0.00619,0.0,0.499,0.681,124.95
Home,Good Neighbours,0.583,0.676,6,-4.44,0.0298,0.0289,0.0634,0.121,0.134,77.002
Lovely Day,Amber Mark,0.676,0.899,4,-4.504,0.0723,0.0199,0.000167,0.107,0.705,100.012
LOVER,"The Knocks, Dolores Forever",0.655,0.883,4,-4.046,0.0492,0.0154,0.0,0.624,0.729,120.032
I'll Be There,"Robin Schulz, Rita Ora, Tiago PZK",0.464,0.76,3,-6.187,0.0508,0.102,0.0,0.146,0.488,95.953
Head Down,"Lost Frequencies, Bastille",0.73,0.845,4,-6.702,0.131,0.304,1.12e-05,0.206,0.424,123.992
Good again,Lena,0.755,0.769,6,-4.05,0.0716,0.0566,0.0,0.226,0.77,111.986
"the boy is mine (with Brandy, Monica) - Remix","Ariana Grande, Brandy, Monica",0.7,0.71,7,-5.561,0.0484,0.295,0.0,0.0719,0.428,98.013
JUNGE BALLER,"6PM RECORDS, Ski Aggu, Haaland936, SIRA",0.764,0.878,9,-6.511,0.0971,0.0523,9.09e-05,0.083,0.639,148.013
"yes, and? - Felix Jaehn Remix","Ariana Grande, Felix Jaehn",0.614,0.909,10,-5.682,0.0432,0.00125,0.339,0.242,0.65,127.991
exes - Regard Remix,"Tate McRae, Regard",0.78,0.682,7,-3.662,0.0377,0.318,2.17e-05,0.435,0.515,128.037
You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",0.702,0.797,10,-6.635,0.0557,0.583,0.495,0.179,0.0356,122.011
Moment,BUNT.,0.684,0.885,8,-6.973,0.262,0.0948,0.0477,0.312,0.48,128.095
HERZ MACHT BAMM,"Tream, treamiboii",0.679,0.984,0,-3.8,0.0787,0.0871,0.00194,0.121,0.767,166.489
SUPERSTARS,"Tream, treamiboii",0.712,0.898,1,-4.899,0.0676,0.0468,1.23e-06,0.104,0.688,148.007
POWER,"Marnik, Axel Cooper",0.496,0.954,8,-1.753,0.0604,0.0508,8.56e-05,0.171,0.79,75.057
LET'S GET FKD UP,"Alok, Mondello'G, CERES, Tribbs",0.65,0.946,10,-5.454,0.0421,0.00191,0.127,0.149,0.425,160.027
Perfect (Exceeder),"David Guetta, Mason, Princess Superstar",0.678,0.952,4,-5.584,0.0484,0.0524,0.81,0.0872,0.0649,127.927
Deep In Your Love,"Alok, Bebe Rexha",0.588,0.88,7,-5.15,0.0354,0.0243,6.89e-05,0.0667,0.523,130.085
The Sound of Silence - CYRIL Remix,"Disturbed, CYRIL",0.68,0.721,6,-4.379,0.188,0.123,0.0,0.162,0.244,125.963
Wonderful Life - Stream Jockey Rework,"Imany, Stream Jockey",0.677,0.561,0,-7.618,0.0288,0.00255,0.0559,0.102,0.67,121.888
Loser,Apache 207,0.862,0.802,0,-7.355,0.263,0.137,0.002,0.142,0.151,109.947
Loyal to myself,Lena,0.603,0.826,2,-3.149,0.028,0.361,1.44e-06,0.124,0.65,159.927
Slow It Down,Benson Boone,0.432,0.583,8,-4.682,0.0687,0.174,0.0,0.0933,0.544,181.489
Praise Jah In The Moonlight,YG Marley,0.66,0.727,6,-4.028,0.0441,0.128,1.31e-05,0.524,0.418,125.023
No Man's Land,"Marshmello, venbee",0.577,0.814,6,-4.688,0.0732,0.193,0.000372,0.163,0.512,168.015
Dance You Outta My Head,Cat Janice,0.751,0.712,2,-7.181,0.0548,0.0608,0.0,0.1,0.598,115.966
Si Antes Te Hubiera Conocido,KAROL G,0.924,0.668,11,-6.795,0.0469,0.446,0.000594,0.0678,0.787,128.027
CONTIGO (with Tiësto),"KAROL G, Tiësto",0.85,0.562,5,-7.863,0.0724,0.169,3.23e-06,0.104,0.293,122.029
Waking Up,"Felix Jaehn, Leony",0.728,0.795,8,-5.399,0.0568,0.00121,0.275,0.341,0.821,128.047
Beat Of Your Heart,"Purple Disco Machine, ÁSDÍS",0.751,0.755,1,-5.183,0.0457,0.00293,9.32e-06,0.127,0.496,120.97
Lovers In A Past Life (with Rag'n'Bone Man),"Calvin Harris, Rag'n'Bone Man",0.752,0.793,9,-3.871,0.0423,0.0713,1.71e-05,0.135,0.725,129.992
One By One (feat. Oaks),"Robin Schulz, Topic, Oaks",0.523,0.892,11,-5.11,0.151,0.0413,0.000724,0.305,0.535,130.01
Mwaki - Tiësto's VIP Mix,"Zerb, Tiësto, Sofiya Nzau",0.689,0.897,7,-6.422,0.041,0.0281,0.0147,0.119,0.38,127.993
Dernière danse - Techno Mix,"Indila, BENNETT",0.589,0.734,0,-5.365,0.077,0.0289,0.000299,0.326,0.356,140.004
Love Hurt Repeat (feat. Mae Muller),"Alle Farben, Lewis Thompson, Mae Muller",0.67,0.811,1,-5.797,0.133,0.0144,0.0,0.594,0.589,125.953
Küssen,"01099, Gustav, Zachi",0.793,0.773,8,-8.306,0.124,0.157,0.0353,0.0771,0.8,170.085
All Night Long,"Kungs, David Guetta, Izzy Bizu",0.704,0.919,1,-4.142,0.0546,0.174,0.00787,0.0831,0.45,126.044
ADHD,Mae Stephens,0.794,0.896,5,-2.661,0.0881,0.0452,0.0,0.419,0.704,111.011
Set Me Free,"southstar, COSBY, sebo",0.666,0.904,9,-4.775,0.044,0.00358,0.858,0.118,0.377,158.92
WHAT YOU WANT,Switch Disco,0.705,0.905,6,-3.611,0.0381,0.0322,0.00377,0.54,0.533,123.996
You Don't Even Know Me,"Cheat Codes, Sam Feldt",0.771,0.717,5,-5.872,0.131,0.07,0.0,0.11,0.545,106.093
Throw Me Out The Club,"Quarterhead, Norma Jean Martine",0.665,0.841,1,-5.071,0.0538,0.0419,4.99e-06,0.371,0.534,123.935
MONEY ON THE DASH,"Elley Duhé, Whethan",0.84,0.667,8,-7.126,0.0843,0.0439,1.34e-05,0.179,0.292,120.044
Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",0.695,0.592,5,-5.34,0.032,0.00449,0.000663,0.185,0.482,108.001
Two Hands,Astrid S,0.734,0.802,7,-5.592,0.0337,0.00572,9.21e-06,0.0984,0.844,120.03
If We Don't,"Macon, VIZE, Coach Harrison",0.757,0.843,1,-7.756,0.055,0.312,0.212,0.0971,0.199,165.047
Shape of Me (feat. Keith Urban),"Rita Ora, Keith Urban",0.581,0.887,2,-4.81,0.124,0.118,0.0,0.109,0.609,108.945
Lifetime,Tobiahs,0.818,0.629,10,-9.79,0.096,0.139,0.777,0.0877,0.0781,135.135
24k Heart Of Gold,"YouNotUs, Sam Feldt, Martin Jensen, Sam Gray",0.643,0.896,10,-6.393,0.0435,0.00359,0.048,0.115,0.615,137.033
Living On My Own,"Braaheim, ILYAA",0.668,0.957,0,-5.895,0.0684,0.152,0.138,0.138,0.343,144.999
Crusade - Club Edit,Gabry Ponte,0.728,0.761,3,-7.529,0.072,0.188,0.313,0.204,0.332,149.894
Dizzy,Olly Alexander (Years & Years),0.622,0.718,0,-6.552,0.051,0.19,4.42e-06,0.0984,0.436,126.025
Simple Life,Leony,0.783,0.867,6,-4.292,0.0483,0.332,0.00171,0.667,0.704,124.99
Doctor (Work It Out) [feat. Miley Cyrus],"Pharrell Williams, Miley Cyrus",0.841,0.624,4,-5.502,0.0419,0.0211,0.0,0.0788,0.93,120.03
Selfish,Justin Timberlake,0.69,0.543,1,-6.752,0.0364,0.0723,0.0291,0.0873,0.376,88.004
Electric,Darin,0.752,0.88,3,-4.734,0.0433,0.0172,0.00362,0.311,0.832,118.031
Slow Dancing,BOY LOCO,0.91,0.472,0,-10.102,0.0463,0.188,2e-05,0.0868,0.711,123.969
Give It Up For Love,Gossip,0.786,0.894,1,-2.911,0.0365,0.00564,0.153,0.0939,0.773,113.018
Ain't No Mountain High Enough,Cascada,0.683,0.897,7,-5.3,0.0692,0.0494,0.0223,0.593,0.968,123.988
You Love Who You Love,Zara Larsson,0.778,0.714,6,-3.927,0.0631,0.0257,2.82e-05,0.0523,0.43,128.036
